company_name,cin,industry,city,state,email,phone,website,turnover,source
AlphaTech Systems,U72900MH2024PTC111001,Software,Mumbai,Maharashtra,info@alphatech.com,9876000001,https://alphatech.com,4500000,manual
BrightPath Solutions,U74999DL2023PTC111002,Consulting,Delhi,Delhi,contact@brightpath.com,9876000002,https://brightpath.com,6200000,google_sheet
CoreVision Pvt Ltd,U72200KA2022PTC111003,IT Services,Bangalore,Karnataka,support@corevision.com,9876000003,https://corevision.com,8100000,mca
DreamBuild Infra,U45201GJ2021PTC111004,Construction,Ahmedabad,Gujarat,hello@dreambuild.com,9876000004,https://dreambuild.com,15000000,manual
EcoFarm Industries,U01110RJ2020PTC111005,Agriculture,Jaipur,Rajasthan,info@ecofarm.com,9876000005,https://ecofarm.com,3900000,google_sheet
FinEdge Capital,U65990TN2023PTC111006,Finance,Chennai,Tamil Nadu,admin@finedge.com,9876000006,https://finedge.com,12000000,mca
GlobalMart Retail,U52100UP2022PTC111007,Retail,Lucknow,Uttar Pradesh,sales@globalmart.com,9876000007,https://globalmart.com,5500000,manual
HealthFirst Care,U85110WB2024PTC111008,Healthcare,Kolkata,West Bengal,contact@healthfirst.com,9876000008,https://healthfirst.com,9800000,google_sheet
Inspire Education,U80904PB2021PTC111009,Education,Chandigarh,Punjab,info@inspireedu.com,9876000009,https://inspireedu.com,2500000,manual
JetSpeed Logistics,U63030KL2020PTC111010,Logistics,Kochi,Kerala,team@jetspeed.com,9876000010,https://jetspeed.com,7300000,mca
KingStar Media,U74300MH2022PTC111011,Marketing,Pune,Maharashtra,hello@kingstar.com,9876000011,https://kingstar.com,4400000,manual
LunarSoft Technologies,U72900KA2023PTC111012,Software,Mysore,Karnataka,support@lunarsoft.com,9876000012,https://lunarsoft.com,8700000,google_sheet
MetroBuild Projects,U45200DL2021PTC111013,Real Estate,Delhi,Delhi,contact@metrobuild.com,9876000013,https://metrobuild.com,17000000,mca
NovaEdge Solutions,U72200TN2024PTC111014,IT Services,Coimbatore,Tamil Nadu,info@novaedge.com,9876000014,https://novaedge.com,6800000,manual
OceanWave Exports,U51909GJ2020PTC111015,Export,Surat,Gujarat,sales@oceanwave.com,9876000015,https://oceanwave.com,9200000,google_sheet
PrimeCare Pharma,U24230MH2023PTC111016,Pharmaceutical,Mumbai,Maharashtra,admin@primecare.com,9876000016,https://primecare.com,14500000,mca
QuickServe Foods,U55209RJ2022PTC111017,Food Service,Udaipur,Rajasthan,hello@quickserve.com,9876000017,https://quickserve.com,3100000,manual
RiseUp Ventures,U74900UP2021PTC111018,Startup,Lucknow,Uttar Pradesh,team@riseup.com,9876000018,https://riseup.com,2700000,google_sheet
SmartGrid Energy,U40106KA2020PTC111019,Energy,Bangalore,Karnataka,contact@smartgrid.com,9876000019,https://smartgrid.com,13200000,mca
TrueValue Traders,U51900PB2024PTC111020,Trading,Amritsar,Punjab,info@truevalue.com,9876000020,https://truevalue.com,4800000,manual
UrbanNest Homes,U70109DL2023PTC111021,Real Estate,Delhi,Delhi,support@urbannest.com,9876000021,https://urbannest.com,15800000,google_sheet
Visionary Labs,U73100WB2022PTC111022,Research,Kolkata,West Bengal,hello@visionarylabs.com,9876000022,https://visionarylabs.com,5300000,mca
WaveNet Communications,U64200TN2021PTC111023,Telecom,Chennai,Tamil Nadu,info@wavenet.com,9876000023,https://wavenet.com,11100000,manual
Xpert Consulting,U74140MH2020PTC111024,Consulting,Nagpur,Maharashtra,contact@xpertconsulting.com,9876000024,https://xpertconsulting.com,6100000,google_sheet
YellowBrick Designs,U74999KA2024PTC111025,Architecture,Bangalore,Karnataka,admin@yellowbrick.com,9876000025,https://yellowbrick.com,7400000,mca
Zenith Automobiles,U34100GJ2022PTC111026,Automobile,Rajkot,Gujarat,sales@zenithauto.com,9876000026,https://zenithauto.com,22000000,manual
Apex Digital,U72900PB2021PTC111027,Digital Marketing,Ludhiana,Punjab,info@apexdigital.com,9876000027,https://apexdigital.com,3600000,google_sheet
BlueSky Aviation,U62200DL2020PTC111028,Aviation,Delhi,Delhi,contact@blueskyaviation.com,9876000028,https://blueskyaviation.com,25000000,mca
CloudSync Tech,U72900KL2023PTC111029,Cloud Services,Kochi,Kerala,hello@cloudsync.com,9876000029,https://cloudsync.com,8400000,manual
Dynamic Motors,U34300TN2024PTC111030,Automobile,Chennai,Tamil Nadu,support@dynamicmotors.com,9876000030,https://dynamicmotors.com,19000000,google_sheet
