company_name,cin,industry,city,state,email,phone,website,turnover,source
InnoByte Technologies,U72900GJ2024PTC564738,Software,Ahmedabad,Gujarat,info@innobyte.com,9876501111,https://innobyte.com,7100000,manual
GrowthSpark Media,U74999MH2023PTC847362,Marketing,Mumbai,Maharashtra,contact@growthspark.com,9123409876,https://growthspark.com,4100000,mca
NatureFresh Agro,U01110RJ2022PTC918273,Agriculture,Jaipur,Rajasthan,support@naturefreshagro.com,9988700112,https://naturefreshagro.com,8300000,google_sheet
MoneyAxis Finance,U65921DL2021PTC726354,Finance,Delhi,Delhi,hello@moneyaxis.com,9090912121,https://moneyaxis.com,11800000,manual
BuildCraft Infra,U45209KA2020PTC615243,Construction,Bangalore,Karnataka,admin@buildcraftinfra.com,9876502222,https://buildcraftinfra.com,17100000,mca
FuturePath Academy,U80904UP2022PTC534261,Education,Lucknow,Uttar Pradesh,info@futurepathacademy.com,9012309876,https://futurepathacademy.com,2800000,manual
MediCare Hub,U85110TN2021PTC423615,Healthcare,Chennai,Tamil Nadu,contact@medicarehub.com,9345601234,https://medicarehub.com,13200000,google_sheet
CodeSphere IT,U72900WB2020PTC312564,IT Services,Kolkata,West Bengal,sales@codesphereit.com,9871209876,https://codesphereit.com,7600000,mca
UrbanKart Retail,U52190PB2023PTC201938,Retail,Chandigarh,Punjab,help@urbankart.com,9988112233,https://urbankart.com,5200000,manual
OceanLink Logistics,U63030KL2022PTC109283,Logistics,Kochi,Kerala,team@oceanlink.com,9776601122,https://oceanlink.com,9300000,google_sheet
VertexSoft Solutions,U72900GJ2023PTC675849,Software,Ahmedabad,Gujarat,contact@vertexsoft.com,9876510101,https://vertexsoft.com,6400000,mca
BrandHive Marketing,U74900MH2022PTC564920,Marketing,Mumbai,Maharashtra,info@brandhive.com,9123498765,https://brandhive.com,3700000,manual
AgriNova Farms,U01100RJ2021PTC453627,Agriculture,Jaipur,Rajasthan,support@agrinova.com,9988771122,https://agrinova.com,7900000,mca
SecureVest Finance,U65999DL2020PTC342516,Finance,Delhi,Delhi,hello@securevest.com,9090901234,https://securevest.com,12600000,google_sheet
MegaStruct Constructions,U45201KA2021PTC231405,Construction,Bangalore,Karnataka,admin@megastruct.com,9876523456,https://megastruct.com,18300000,manual
EduNation Learning,U80903UP2023PTC120394,Education,Lucknow,Uttar Pradesh,info@edunation.com,9012340098,https://edunation.com,2950000,mca
WellnessCare Hospitals,U85190TN2022PTC019283,Healthcare,Chennai,Tamil Nadu,care@wellnesscare.com,9345670011,https://wellnesscare.com,14100000,manual
NetFusion Digital,U72200WB2021PTC908172,IT Services,Kolkata,West Bengal,sales@netfusiondigital.com,9871230099,https://netfusiondigital.com,8100000,google_sheet
RetailWave Stores,U52300PB2022PTC897061,Retail,Chandigarh,Punjab,help@retailwave.com,9988003344,https://retailwave.com,4900000,mca
TransGlobe Movers,U60231KL2023PTC786950,Logistics,Kochi,Kerala,team@transglobe.com,9776650099,https://transglobe.com,9700000,manual
