company_name,cin,industry,city,state,email,phone,website,turnover,source
AlphaTech Systems,U72900GJ2023PTC987654,Software,Surat,Gujarat,contact@alphatechsystems.com,9823456710,https://alphatechsystems.com,6200000,manual
PrimeEdge Consulting,U74140MH2022PTC876543,Consulting,Pune,Maharashtra,info@primeedge.com,9765432109,https://primeedge.com,5400000,mca
EcoHarvest Farms,U01122RJ2021PTC765432,Agriculture,Udaipur,Rajasthan,support@ecoharvest.com,9887766554,https://ecoharvest.com,8100000,google_sheet
FinCore Advisors,U67190DL2020PTC654987,Finance,New Delhi,Delhi,hello@fincoreadvisors.com,9001122334,https://fincoreadvisors.com,11200000,manual
MetroBuild Infra,U45309KA2021PTC543876,Construction,Mysore,Karnataka,admin@metrobuildinfra.com,9845012345,https://metrobuildinfra.com,17400000,mca
EduSpark Academy,U80904UP2023PTC432765,Education,Kanpur,Uttar Pradesh,info@edusparkacademy.com,9123456701,https://edusparkacademy.com,2600000,google_sheet
CareWell Hospitals,U85100TN2022PTC321654,Healthcare,Coimbatore,Tamil Nadu,care@carewellhospitals.com,9365478901,https://carewellhospitals.com,13800000,manual
InfoSphere Technologies,U72200WB2021PTC210543,IT Services,Howrah,West Bengal,sales@infospheretech.com,9831234567,https://infospheretech.com,7200000,mca
DailyNeeds Retail,U52399PB2022PTC109876,Retail,Amritsar,Punjab,help@dailyneedsretail.com,9911002233,https://dailyneedsretail.com,5100000,manual
SwiftLine Logistics,U63090KL2023PTC998877,Logistics,Thiruvananthapuram,Kerala,team@swiftline.com,9776655001,https://swiftline.com,9400000,google_sheet
CloudMatrix Solutions,U72900TG2022PTC887766,Software,Hyderabad,Telangana,info@cloudmatrix.com,9845671230,https://cloudmatrix.com,8600000,mca
Visionary Media,U74300MH2021PTC776655,Marketing,Nagpur,Maharashtra,contact@visionarymedia.com,9898981234,https://visionarymedia.com,3900000,manual
OrganicRoots Agro,U01403MP2020PTC665544,Agriculture,Indore,Madhya Pradesh,support@organicroots.com,9755512345,https://organicroots.com,6900000,google_sheet
CapitalBridge Finance,U65999DL2023PTC554433,Finance,Gurgaon,Haryana,hello@capitalbridge.com,9010101010,https://capitalbridge.com,12400000,mca
SkyHigh Developers,U45201KA2022PTC443322,Construction,Hubli,Karnataka,admin@skyhighdevelopers.com,9876512340,https://skyhighdevelopers.com,16200000,manual
LearnQuest Institute,U80301BR2021PTC332211,Education,Patna,Bihar,info@learnquest.com,9098765432,https://learnquest.com,3100000,google_sheet
MediTrust Healthcare,U85190AP2020PTC221100,Healthcare,Vijayawada,Andhra Pradesh,contact@meditrust.com,9345612789,https://meditrust.com,14600000,mca
TechBridge IT,U72900OR2022PTC110099,IT Services,Bhubaneswar,Odisha,sales@techbridgeit.com,9437012345,https://techbridgeit.com,5800000,manual
SmartBuy Retail,U52520GJ2021PTC998811,Retail,Rajkot,Gujarat,help@smartbuyretail.com,9825098765,https://smartbuyretail.com,4700000,google_sheet
RapidMove Logistics,U60231TN2023PTC887700,Logistics,Madurai,Tamil Nadu,team@rapidmove.com,9786655440,https://rapidmove.com,9900000,mca
