company_name,cin,industry,city,state,email,phone,website,turnover,source
NovaGrid Technologies,U72900GJ2024PTC781245,Software,Vadodara,Gujarat,hello@novagridtech.com,9898123401,https://novagridtech.com,7350000,manual
ZenithWave Consulting,U74110MH2023PTC672134,Consulting,Nashik,Maharashtra,contact@zenithwave.com,9765012387,https://zenithwave.com,4680000,mca
GreenLeaf Organics,U01110RJ2022PTC563287,Agriculture,Jodhpur,Rajasthan,care@greenleaforganics.com,9876541203,https://greenleaforganics.com,9240000,google_sheet
TrustLine Capital,U65921DL2021PTC454398,Finance,Noida,Uttar Pradesh,info@trustlinecapital.com,9012348765,https://trustlinecapital.com,13800000,manual
UrbanAxis Infra,U45203KA2020PTC345509,Construction,Belgaum,Karnataka,support@urbanaxisinfra.com,9845237610,https://urbanaxisinfra.com,18800000,mca
BrightMinds Institute,U80902UP2024PTC236610,Education,Agra,Uttar Pradesh,admin@brightmindsinstitute.com,9123409876,https://brightmindsinstitute.com,3420000,google_sheet
LifeCare Medicals,U85110TN2023PTC127721,Healthcare,Salem,Tamil Nadu,help@lifecaremedicals.com,9365401287,https://lifecaremedicals.com,14900000,manual
CodeNest Solutions,U72200WB2022PTC918832,IT Services,Durgapur,West Bengal,sales@codenestsolutions.com,9832107645,https://codenestsolutions.com,6840000,mca
ValueCart Retail,U52190PB2021PTC809943,Retail,Ludhiana,Punjab,team@valuecartretail.com,9911223344,https://valuecartretail.com,5980000,manual
MoveFast Transport,U63030KL2024PTC701054,Logistics,Kochi,Kerala,contact@movefasttransport.com,9777012456,https://movefasttransport.com,10300000,google_sheet
PixelForge Systems,U72900TG2023PTC692165,Software,Warangal,Telangana,hello@pixelforge.com,9845603217,https://pixelforge.com,8820000,mca
BrandHive Media,U74300MH2022PTC583276,Marketing,Aurangabad,Maharashtra,reach@brandhivemedia.com,9898012376,https://brandhivemedia.com,4170000,manual
FreshRoots Agro,U01409MP2021PTC474387,Agriculture,Gwalior,Madhya Pradesh,support@freshrootsagro.com,9755604321,https://freshrootsagro.com,7560000,google_sheet
EliteFunds Advisory,U67120DL2024PTC365498,Finance,Faridabad,Haryana,connect@elitefunds.com,9001234789,https://elitefunds.com,14500000,mca
BluePeak Builders,U45301KA2023PTC256509,Construction,Mangalore,Karnataka,office@bluepeakbuilders.com,9876001452,https://bluepeakbuilders.com,17600000,manual
NextGen Learning,U80302BR2022PTC147610,Education,Gaya,Bihar,info@nextgenlearning.com,9098123476,https://nextgenlearning.com,3890000,google_sheet
HealthNova Clinics,U85195AP2021PTC038721,Healthcare,Guntur,Andhra Pradesh,care@healthnovaclinics.com,9345701289,https://healthnovaclinics.com,15800000,mca
DigitalOrbit IT,U72900OR2024PTC929832,IT Services,Cuttack,Odisha,sales@digitalorbitit.com,9437123480,https://digitalorbitit.com,6420000,manual
MegaMart Stores,U52310GJ2023PTC810943,Retail,Bhavnagar,Gujarat,support@megamartstores.com,9825014786,https://megamartstores.com,5280000,google_sheet
QuickShift Cargo,U60220TN2022PTC701154,Logistics,Tiruchirappalli,Tamil Nadu,team@quickshiftcargo.com,9786701453,https://quickshiftcargo.com,11700000,mca
