id,companyName,email,phone,city,state,industry,website
1,TechNova Solutions,contact@technova.com,9876543210,Mumbai,Maharashtra,Software,httpstechnova.com
2,BluePeak Systems,info@bluepeak.com,9876543211,Delhi,Delhi,IT Services,httpsbluepeak.com
3,GreenLeaf Pvt Ltd,support@greenleaf.com,9876543212,Bangalore,Karnataka,Agriculture,httpsgreenleaf.com
4,NextGen Labs,hello@nextgenlabs.com,9876543213,Hyderabad,Telangana,Biotech,httpsnextgenlabs.com
5,UrbanBuild Infra,admin@urbanbuild.com,9876543214,Pune,Maharashtra,Construction,httpsurbanbuild.com
6,FinEdge Capital,info@finedge.com,9876543215,Ahmedabad,Gujarat,Finance,httpsfinedge.com
7,CloudSync Tech,team@cloudsync.com,9876543216,Chennai,Tamil Nadu,Cloud Computing,httpscloudsync.com
8,VisionWare Solutions,sales@visionware.com,9876543217,Kolkata,West Bengal,Software,httpsvisionware.com
9,CoreMatrix Pvt Ltd,contact@corematrix.com,9876543218,Jaipur,Rajasthan,Consulting,httpscorematrix.com
10,PixelCraft Media,hello@pixelcraft.com,9876543219,Surat,Gujarat,Marketing,httpspixelcraft.com
11,BrightPath Logistics,info@brightpath.com,9876543220,Nagpur,Maharashtra,Logistics,httpsbrightpath.com
12,SecureNet Systems,support@securenet.com,9876543221,Indore,Madhya Pradesh,Cybersecurity,httpssecurenet.com
13,AlphaBridge Tech,team@alphabridge.com,9876543222,Lucknow,Uttar Pradesh,Software,httpsalphabridge.com
14,QuantumLeap AI,contact@quantumleap.com,9876543223,Noida,Uttar Pradesh,Artificial Intelligence,httpsquantumleap.com
15,FutureWave Digital,hello@futurewave.com,9876543224,Gurgaon,Haryana,Digital Marketing,httpsfuturewave.com
16,PrimeVision Healthcare,info@primevision.com,9876543225,Kochi,Kerala,Healthcare,httpsprimevision.com
17,EcoSmart Energy,sales@ecosmart.com,9876543226,Bhopal,Madhya Pradesh,Renewable Energy,httpsecosmart.com
18,SmartGrid Networks,admin@smartgrid.com,9876543227,Patna,Bihar,Telecom,httpssmartgrid.com
19,DataHive Analytics,contact@datahive.com,9876543228,Kanpur,Uttar Pradesh,Data Analytics,httpsdatahive.com
20,InnoCraft Labs,info@innocraft.com,9876543229,Chandigarh,Chandigarh,R&D,httpsinnocraft.com
21,NovaEdge Retail,support@novaedge.com,9876543230,Vadodara,Gujarat,Retail,httpsnovaedge.com
22,Skyline Ventures,hello@skyline.com,9876543231,Visakhapatnam,Andhra Pradesh,Investment,httpsskyline.com
23,BrightByte Solutions,contact@brightbyte.com,9876543232,Coimbatore,Tamil Nadu,Software,httpsbrightbyte.com
24,EliteCore Industries,info@elitecore.com,9876543233,Nashik,Maharashtra,Manufacturing,httpselitecore.com
